gene_name	max_af	max_af_pop
FXN	2.685e-05	gnomAD_NFE
CAD	0.00344828	gnomADg_AF_asj
NHLRC1	0.00028901734104046245	ExAC_AF_AMR
GUCY2D	0.0003493	gnomAD_NFE&gnomAD_NFE&gnomAD_NFE
PRRT2	0.06854	EA&EA
LOC106780800	0.062963	gnomADg_AF_asj
WDR35	0.000919118	gnomADg_AF_oth
TOR1A	0.00344828	gnomADg_AF_asj
BLOC1S1-RDH5	0.0029	AMR&AMR
FGD1	0.0147059	gnomADg_AF_fin
ALG1	0.0011111111111111111	ExAC_AF_OTH
KLHL7	0.000287853	gnomADg_AF_fin
RET	0.00117925	gnomADg_AF_amr
SLC3A1	0.0172414	gnomADg_AF_asj
DPYS	0.0011061946902654867	ExAC_AF_OTH
ATM	0.001287	gnomADg_AF_eas
PKD1	0.000907676	gnomADg_AF_nfe
GDAP1	0.0014	AMR
GNPTAB	0.00402762	gnomADg_AF_fin
CDC14A	0.0002015	gnomAD_OTH
WFS1	0.0023	AFR
CAV3	0.00011489	gnomADg_AF_afr
CBL	0.000641026	gnomADg_AF_eas
GFER	0.0002326	EA
CAPN3	0.0206	EA
NBAS	0.00092081	gnomADg_AF_oth
MMAB	0.000389965	gnomADg_AF_nfe
SSUH2	0.00011489	gnomADg_AF_afr
BSND	0.0004539	AA
DARS2	0.00344828	gnomADg_AF_asj
SPATA5	0.001333	EA
OAT	0.0011210762331838565	ExAC_AF_OTH
PMM2	0.027559055118110236	ExAC_AF_FIN
MUSK	0.0014	AMR
GYS2	0.00209055	gnomADe_AF_sas
LIPH	0.002890841813135985	ExAC_AF_EAS
UPB1	0.00367136	gnomADe_AF_asj
CYP7B1	0.00192308	gnomADg_AF_eas
NEK1	0.000366	EA
THOC6	0.00117925	gnomADg_AF_amr
CRB1	0.00117925	gnomADg_AF_amr
DSG2-AS1	9.28074e-05	gnomADe_AF_fin
TMEM237	0.000368	EA
P3H1	0.002951	AA
CHD7	0.0004992737835875091	ExAC_AF_NFE
LOC107303343	0.000919118	gnomADg_AF_oth
TK2	0.00117925	gnomADg_AF_amr
SCARB2	0.0001734304543877905	ExAC_AF_AMR
CCDC65	0.00689655	gnomADg_AF_asj
COMP	0.0002007628990162618	ExAC_AF_AFR
LRRK2	0.008738	gnomAD_ASJ
UGT1A7	0.003	EAS
NDUFS8	6.54707e-05	gnomADe_AF_sas
PRSS23	0.00011564	gnomADe_AF_amr
TRAPPC9	0.000325733	gnomADe_AF_oth
ZNF276	0.001	EUR
NAGS	0.0008	AFR
SDHC	0.00023191094619666049	ExAC_AF_EAS
ATL1	0.000114916	gnomADg_AF_afr
CLN6	0.0004764	gnomAD_AMR
MTM1	1.251e-05	gnomAD_NFE
ANKRD11	2.979e-05	gnomAD_AMR
RXYLT1	0.0001212	EA
GOSR2	0.000648172	gnomADg_AF_nfe
NOTCH3	0.00413988	gnomADe_AF_eas
HBA2	0.00130039	gnomADg_AF_eas
FUCA1	8.641548565502938e-05	ExAC_AF_AMR
LOC101927157	0.00276243	gnomADg_AF_oth
BMPR1A	9.887284951552304e-05	ExAC_AF_AFR
DMD	0.00212766	gnomADg_AF_fin
B4GALT7	0.00012106537530266344	ExAC_AF_NFE
OTC	9.36768e-05	gnomADg_AF_nfe
MCEE	0.000919118	gnomADg_AF_oth
FANCC	0.0103448	gnomADg_AF_asj
WDR62	0.0013014055179593961	ExAC_AF_AMR
INVS	0.0002631578947368421	ExAC_AF_AMR
SLC2A1	0.000288351	gnomADg_AF_fin
PEX11B	1.4983518130056938e-05	ExAC_AF_NFE
FKRP	0.01683937823834197	ExAC_AF_NFE
FANCF	0.0009697	EA
TCTN2	0.0002345	AA
ALOX12B	0.00115141	gnomADg_AF_fin
HLCS	0.000641849	gnomADg_AF_eas
GJB2	0.0917843	gnomADg_AF_eas
MITD1	0.0026807	gnomADe_AF_asj
SLC22A5	0.0041	SAS
TECPR2	0.00344828	gnomADg_AF_asj
NAGLU	0.006329113924050633	ExAC_AF_AFR
SRD5A3	0.002	SAS
ABCB4	0.0001163	EA
LEPR	0.0043	AMR
SLC40A1	0.00011555350127108852	ExAC_AF_EAS
SPTLC1	0.0001163	EA
HIBCH	0.0005202011444425178	ExAC_AF_AMR
DNAH11	0.0011547344110854503	ExAC_AF_OTH
NPHP3	0.002	EAS
ALDH5A1	0.0011013215859030838	ExAC_AF_OTH
AHDC1	1.5209588124353593e-05	ExAC_AF_NFE
ALDH7A1	0.00117925	gnomADg_AF_amr
DEPDC5	6.49098e-05	gnomADg_AF_nfe
MUTYH	0.0092	SAS
GALC	0.009048723897911833	ExAC_AF_EAS
DUOX2	0.012140575079872205	ExAC_AF_FIN
PDZD7	0.00471698	gnomADg_AF_amr
CCM2	6.066488716330988e-05	ExAC_AF_SAS
RNU4ATAC	0.001	EUR
LOC106799833	0.003	AFR
PNP	0.000575374	gnomADg_AF_fin
